date,visitors,comments,bookmarks,fans
2020年04月07日,1778,0,1,7
2020年04月08日,2655,0,2,7
2020年04月09日,3012,3,3,7
2020年04月10日,717,7,0,2
2020年04月11日,342,4,0,2
2020年04月12日,301,3,0,2
2020年04月13日,614,1,0,6
2020年04月14日,637,1,3,5
2020年04月15日,737,0,2,7
2020年04月16日,851,1,2,5
2020年04月17日,1157,2,0,3
2020年04月18日,983,1,2,2
2020年04月19日,909,0,3,0
2020年04月20日,1470,1,2,3
2020年04月21日,1635,0,2,6
2020年04月22日,1925,2,2,4
2020年04月23日,1678,5,3,3
2020年04月24日,1432,4,1,6
2020年04月25日,1175,0,1,3
2020年04月26日,1541,0,0,3
2020年04月27日,1343,0,3,6
2020年04月28日,1371,0,0,2
2020年04月29日,1787,0,2,3
2020年04月30日,1454,0,1,4
2020年05月01日,950,0,1,0
2020年05月02日,1357,0,1,1
2020年05月03日,1718,0,1,1
2020年05月04日,774,0,3,0
2020年05月05日,1027,0,1,0
2020年05月06日,1653,0,3,7
2020年05月07日,1616,2,2,5
2020年05月08日,1873,8,3,9
2020年05月09日,2975,8,1,6
2020年05月10日,1517,0,1,1
2020年05月11日,1867,3,2,0
2020年05月12日,1636,0,1,7
2020年05月13日,1575,0,4,13
2020年05月14日,1642,0,4,5
2020年05月15日,1289,0,3,4
2020年05月16日,901,2,3,4
2020年05月17日,1100,1,0,0
2020年05月18日,1515,6,0,5
2020年05月19日,2045,0,0,4
2020年05月20日,2382,1,5,4
2020年05月21日,2212,0,4,6
2020年05月22日,1866,0,1,6
2020年05月23日,1825,0,1,3
2020年05月24日,1140,0,1,3
2020年05月25日,2426,3,2,6
2020年05月26日,1935,2,4,10
2020年05月27日,1790,0,11,7
2020年05月28日,1986,0,3,11
2020年05月29日,1649,2,3,5
2020年05月30日,1082,2,3,3
2020年05月31日,1000,0,0,0
2020年06月01日,1931,0,7,6
2020年06月02日,1614,0,1,4
2020年06月03日,1722,0,3,5
2020年06月04日,1897,0,2,4
2020年06月05日,1899,1,4,3
2020年06月06日,1258,0,1,1
2020年06月07日,872,0,2,1
2020年06月08日,1553,7,2,5
2020年06月09日,1680,2,1,5
2020年06月10日,1829,5,3,4
2020年06月11日,2165,11,7,17
2020年06月12日,2017,0,4,3
2020年06月13日,1264,0,2,1
2020年06月14日,895,0,4,3
2020年06月15日,1906,10,2,5
2020年06月16日,1637,0,0,5
2020年06月17日,1616,5,7,5
2020年06月18日,1802,4,2,3
2020年06月19日,1673,1,0,2
2020年06月20日,1031,0,1,4
2020年06月21日,915,1,1,2
2020年06月22日,1692,0,2,2
2020年06月23日,1915,0,0,2
2020年06月24日,1769,1,1,6
2020年06月25日,1270,0,0,0
2020年06月26日,1222,0,0,2
2020年06月27日,1173,2,0,1
2020年06月28日,1973,1,3,3
